"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"6","6","0","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","122386458","3.7","-1166342","-0.9","2941609124","12063","-15","-0.1","283954","359","506"
"7","7","2","OLD","20204548","범죄도시2","2022-05-18","19644020","0.6","2632020","15.5","131109613150","2045","366","21.8","12675367","132","168"
"8","8","-1","OLD","20225293","썸머 필름을 타고!","2022-07-20","15691460","0.5","-2451940","-13.5","49042360","1697","-232","-12","5075","63","102"
"9","9","1","OLD","20225175","엘비스","2022-07-13","12485300","0.4","1264600","11.3","756689700","1164","102","9.6","71245","43","48"
"10","10","71","OLD","20225795","아이언 크로스: 노르망디 상륙작전","2022-07-21","5000000","0.2","4970000","16566.7","5047000","1000","997","33233.3","1005","50","50"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20208446","외계+인 1부","2022-07-20","1410100101","33.3","228456241","19.3","4274402079","131530","15876","13.7","412766","1829","7546"
"2","2","0","OLD","20205362","미니언즈2","2022-07-20","1017598524","24.0","206075529","25.4","3260605217","101599","16727","19.7","334691","1233","4875"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","948453156","22.4","291997204","44.5","65654816958","88200","23976","37.3","6141601","957","2775"
"4","4","0","OLD","20209654","헤어질 결심","2022-06-29","347943058","8.2","91506142","35.7","14355672882","31656","6946","28.1","1397822","647","1140"
"5","5","1","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","205691559","4.9","83305101","68.1","3147300683","19475","7412","61.4","303429","406","624"
"6","6","-1","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","181266598","4.3","34093104","23.2","28508280822","16938","2480","17.2","2622755","612","1028"
"7","7","0","OLD","20204548","범죄도시2","2022-05-18","24066320","0.6","4422300","22.5","131133679470","2303","258","12.6","12677670","139","184"
"8","8","0","OLD","20225293","썸머 필름을 타고!","2022-07-20","16555200","0.4","863740","5.5","65597560","1599","-98","-5.8","6674","61","98"
"9","9","0","OLD","20225175","엘비스","2022-07-13","13891360","0.3","1406060","11.3","770581060","1146","-18","-1.5","72391","47","52"
"10","10","3","OLD","20224791","그레이 맨","2022-07-13","8059000","0.2","1853700","29.9","226378160","860","162","23.2","23646","39","61"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20208446","외계+인 1부","2022-07-20","2751630973","32.1","1341530872","95.1","7026033052","253707","122177","92.9","666473","1688","6967"
"2","2","0","OLD","20205362","미니언즈2","2022-07-20","2537243005","29.6","1519644481","149.3","5797848222","253053","151454","149.1","587744","1394","6051"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","1965985873","22.9","1017532717","107.3","67620802831","181301","93101","105.6","6322902","1096","3276"
"4","4","0","OLD","20209654","헤어질 결심","2022-06-29","587592603","6.9","239649545","68.9","14943265485","53054","21398","67.6","1450876","654","1212"
"5","5","1","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","313977856","3.7","132711258","73.2","28822258678","28708","11770","69.5","2651463","597","928"
"6","6","-1","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","229622086","2.7","23930527","11.6","3376922769","21617","2142","11","325046","407","638"
"7","7","0","OLD","20204548","범죄도시2","2022-05-18","37618800","0.4","13552480","56.3","131171298270","3516","1213","52.7","12681186","124","173"
"8","8","1","OLD","20225175","엘비스","2022-07-13","29376670","0.3","15485310","111.5","799957730","2399","1253","109.3","74790","43","48"
"9","9","-1","OLD","20225293","썸머 필름을 타고!","2022-07-20","22439100","0.3","5883900","35.5","88036660","2143","544","34","8817","65","98"
"10","10","0","NEW","20209343","한산: 용의 출현","2022-07-27","24218700","0.3","24218700","100","56787700","1888","1888","100","5177","9","9"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20208446","외계+인 1부","2022-07-20","2657401029","32.0","-94229944","-3.4","9683434081","246787","-6920","-2.7","913260","1674","6661"
"2","2","0","OLD","20205362","미니언즈2","2022-07-20","2461263379","29.7","-75979626","-3","8259111601","245727","-7326","-2.9","833471","1385","5955"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","1931101117","23.3","-34884756","-1.8","69551903948","178993","-2308","-1.3","6501895","1115","3293"
"4","4","0","OLD","20209654","헤어질 결심","2022-06-29","556555056","6.7","-31037547","-5.3","15499820541","50467","-2587","-4.9","1501343","664","1210"
"5","5","0","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","284833134","3.4","-29144722","-9.3","29107091812","26261","-2447","-8.5","2677724","595","914"
"6","6","0","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","232598528","2.8","2976442","1.3","3609521297","21946","329","1.5","346992","406","650"
"7","7","0","OLD","20204548","범죄도시2","2022-05-18","35654770","0.4","-1964030","-5.2","131206953040","3359","-157","-4.5","12684545","123","167"
"8","8","0","OLD","20225175","엘비스","2022-07-13","30330840","0.4","954170","3.2","830288570","2470","71","3","77260","45","50"
"9","9","0","OLD","20225293","썸머 필름을 타고!","2022-07-20","18756100","0.2","-3683000","-16.4","106792760","1749","-394","-18.4","10566","60","97"
"10","10","0","OLD","20209343","한산: 용의 출현","2022-07-27","19058800","0.2","-5159900","-21.3","75846500","1511","-377","-20","6688","8","8"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20208446","외계+인 1부","2022-07-20","852020713","27.8","-1805380316","-67.9","10535454794","82901","-163886","-66.4","996161","1524","6113"
"2","2","0","OLD","20205362","미니언즈2","2022-07-20","759526254","24.8","-1701737125","-69.1","9018637855","79797","-165930","-67.5","913268","1157","5028"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","735155225","24.0","-1195945892","-61.9","70287059173","71504","-107489","-60.1","6573399","981","3221"
"4","4","0","OLD","20209654","헤어질 결심","2022-06-29","283500303","9.3","-273054753","-49.1","15783320844","27435","-23032","-45.6","1528778","666","1335"
"5","5","1","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","110788639","3.6","-121809889","-52.4","3720309936","10915","-11031","-50.3","357907","364","608"
"6","6","-1","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","110762888","3.6","-174070246","-61.1","29217854700","10723","-15538","-59.2","2688447","548","893"
"7","7","0","NEW","20196410","비상선언","2022-08-03","52201000","1.7","52201000","100","52201000","6973","6973","100","6973","27","30"
"8","8","2","OLD","20209343","한산: 용의 출현","2022-07-27","75532000","2.5","56473200","296.3","151378500","6364","4853","321.2","13052","25","25"
"9","9","-2","OLD","20204548","범죄도시2","2022-05-18","16527260","0.5","-19127510","-53.6","131223480300","1665","-1694","-50.4","12686210","120","172"
"10","10","-2","OLD","20225175","엘비스","2022-07-13","13565560","0.4","-16765280","-55.3","843854130","1264","-1206","-48.8","78524","46","50"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","1","OLD","20205362","미니언즈2","2022-07-20","742357587","26.0","-17168667","-2.3","9760995442","79165","-632","-0.8","992433","1162","4965"
"2","2","-1","OLD","20208446","외계+인 1부","2022-07-20","732264286","25.7","-119756427","-14.1","11267719080","71696","-11205","-13.5","1067857","1525","5999"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","703597524","24.7","-31557701","-4.3","70990656697","68261","-3243","-4.5","6641660","990","3254"
"4","4","0","OLD","20209654","헤어질 결심","2022-06-29","278367179","9.8","-5133124","-1.8","16061688023","27098","-337","-1.2","1555876","672","1371"
"5","5","0","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","115550968","4.1","4762329","4.3","3835860904","11509","594","5.4","369416","373","613"
"6","6","0","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","112977098","4.0","2214210","2","29330831798","10931","208","1.9","2699378","566","918"
"7","7","0","OLD","20196410","비상선언","2022-08-03","41437000","1.5","-10764000","-20.6","93638000","4517","-2456","-35.2","11490","24","24"
"8","8","15","OLD","20224713","멘","2022-07-13","11185000","0.4","9739000","673.5","91081960","2114","1986","1551.6","10014","26","31"
"9","9","-1","OLD","20209343","한산: 용의 출현","2022-07-27","18843000","0.7","-56689000","-75.1","170221500","1882","-4482","-70.4","14934","6","8"
